Subspace,Breakdown,Ce,Insight_type,Imp,Sig,Score
"{'Year': '2009', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.04151622259664458,1.0,0.04151622259664458
"{'Year': '2011', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.03927329219066637,1.0,0.03927329219066637
"{'Year': '2009', 'Brand': 'Honda', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.0374343437992775,1.0,0.0374343437992775
"{'Year': '2010', 'Brand': 'Honda', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.03718053215415837,1.0,0.03718053215415837
"{'Year': '2009', 'Brand': '*', 'Category': 'Subcompact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.03675802973555783,1.0,0.03675802973555783
"{'Year': '2011', 'Brand': 'Honda', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.0340301931851482,1.0,0.0340301931851482
"{'Year': '2010', 'Brand': '*', 'Category': 'Subcompact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.03323947229073859,1.0,0.03323947229073859
"{'Year': '2011', 'Brand': '*', 'Category': 'Subcompact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.03224466201813649,1.0,0.03224466201813649
"{'Year': '2011', 'Brand': '*', 'Category': 'Compact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.02707683066438802,1.0,0.02707683066438802
"{'Year': '2011', 'Brand': 'Hyundai', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.026893177594069968,1.0,0.026893177594069968
"{'Year': '2010', 'Brand': '*', 'Category': 'Compact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.024642902889949386,1.0,0.024642902889949386
"{'Year': '2008', 'Brand': '*', 'Category': 'Compact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.024099424827413556,1.0,0.024099424827413556
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.2039496540607491,[0.11449291],[0.02335079]
"{'Year': '2010', 'Brand': 'Hyundai', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.022676911825725007,1.0,0.022676911825725007
"{'Year': '2009', 'Brand': '*', 'Category': 'Compact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.021297552277717745,1.0,0.021297552277717745
"{'Year': '2009', 'Brand': 'Hyundai', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.017659935092826453,1.0,0.017659935092826453
"{'Year': '2011', 'Brand': 'GMC', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.017366300017407355,0.998491796523272,0.0173401081033432
"{'Year': '2008', 'Brand': 'Hyundai', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.01608123030952613,1.0,0.01608123030952613
"{'Year': '2008', 'Brand': 'GMC', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.015028851687509876,1.0,0.015028851687509876
"{'Year': '2010', 'Brand': 'GMC', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.014559865791846717,1.0,0.014559865791846717
"{'Year': '2008', 'Brand': '*', 'Category': 'Pickup'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.01137636343929924,1.0,0.01137636343929924
"{'Year': '2008', 'Brand': 'BMW', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.01136372759715366,1.0,0.01136372759715366
"{'Year': '2011', 'Brand': 'BMW', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.011308713786223812,1.0,0.011308713786223812
"{'Year': '2009', 'Brand': 'GMC', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.010767014777275263,1.0,0.010767014777275263
"{'Year': '2010', 'Brand': 'BMW', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.010040841596352995,1.0,0.010040841596352995
