Subspace,Breakdown,Ce,Insight_type,Sig,Imp,Score,Key,Value
"{Year: *, Brand: Ford, Category: *}",Year,"[(SUM, Sales), (%, Year)]",Point,0.99999,0.25041,0.25041,"['2011', '2007', '2010', '2008', '2009']","[0.2361, 0.2194, 0.192, 0.1867, 0.1658]"
"{Year: *, Brand: Ford, Category: *}",Category,"[(SUM, Sales), (avg, Brand)]",Point,0.99999,0.25041,0.25041,"['SUV', 'Compact', 'Sporty', 'Fullsize', 'Midsize', 'MPV', 'Pickup', 'Subcompact']","[1373408.875, 333361.19999999995, 258027.33333333334, 231076.0, 114105.14285714284, -89064.0, -255382.5, -438172.7142857143]"
"{Year: *, Brand: Ford, Category: *}",Category,"[(SUM, Sales), (rank, Brand)]",Point,0.99999,0.25041,0.25041,"['Subcompact', 'Midsize', 'Pickup', 'Compact', 'Fullsize', 'Sporty', 'SUV', 'MPV']","[4, 3, 2, 1, 1, 1, 1, 0]"
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (prev, Year)]",Point,1.0,0.24094,0.24094,"['2007', '2010', '2011', '2008', '2009']","[0, -26285, -84358, -137584, -211729]"
"{Year: *, Brand: Toyota, Category: *}",Category,"[(SUM, Sales), (%, Brand)]",Point,1.0,0.24094,0.24094,"['Subcompact', 'Midsize', 'SUV', 'Compact', 'Fullsize', 'Sporty', 'Pickup', 'MPV']","[0.4432, 0.3271, 0.2232, 0, 0, 0, 0, 0]"
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (avg, Brand)]",Point,1.0,0.24094,0.24094,"['2007', '2008', '2009', '2010', '2011']","[690275.875, 624444.875, 498450.5, 425523.875, 303112.875]"
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (rank, Year)]",Point,1.0,0.24094,0.24094,"['2011', '2010', '2009', '2008', '2007']","[5, 4, 3, 2, 1]"
"{Year: *, Brand: Toyota, Category: *}",Category,"[(SUM, Sales), (avg, Category)]",Point,1.0,0.24094,0.24094,"['Midsize', 'Subcompact', 'SUV', 'Compact', 'Fullsize', 'Sporty', 'Pickup', 'MPV']","[142186.66666666674, 88585.66666666674, -230772.33333333326, -1760676.3333333333, -1760676.3333333333, -1760676.3333333333, -1760676.3333333333, -1760676.3333333333]"
"{Year: *, Brand: Toyota, Category: *}",Category,"[(SUM, Sales), (avg, Brand)]",Point,1.0,0.24094,0.24094,"['Subcompact', 'Midsize', 'SUV', 'MPV', 'Sporty', 'Fullsize', 'Compact', 'Pickup']","[1253223.2857142857, 1071890.1428571427, 673262.875, -89064.0, -178626.66666666666, -290931.0, -544245.8, -575761.5]"
"{Year: *, Brand: Toyota, Category: *}",Category,"[(SUM, Sales), (rank, Category)]",Point,1.0,0.24094,0.24094,"['SUV', 'Subcompact', 'Midsize', 'Compact', 'Fullsize', 'Sporty', 'Pickup', 'MPV']","[3, 2, 1, 0, 0, 0, 0, 0]"
"{Year: *, Brand: Toyota, Category: *}",Category,"[(SUM, Sales), (%, Category)]",Point,1.0,0.24094,0.24094,"['Midsize', 'Subcompact', 'SUV', 'Compact', 'Fullsize', 'Sporty', 'Pickup', 'MPV']","[0.3603, 0.3501, 0.2896, 0, 0, 0, 0, 0]"
